No.,Time,Source,Destination,Protocol,Length
1,2024-08-07 10:11:01,172.16.235.54,224.0.0.22,IGMP,60
2,2024-08-07 10:11:01,172.16.214.199,224.0.0.22,IGMP,60
3,2024-08-07 10:11:01,0.0.0.0,255.255.255.255,UDP,342
4,2024-08-07 10:11:01,172.16.219.90,224.0.0.22,IGMP,60
5,2024-08-07 10:11:01,172.16.218.142,224.0.0.22,IGMP,60
6,2024-08-07 10:11:01,172.16.227.201,224.0.0.22,IGMP,60
7,2024-08-07 10:11:01,172.16.220.113,224.0.0.22,IGMP,54
8,2024-08-07 10:11:01,172.16.232.193,224.0.0.22,IGMP,60
9,2024-08-07 10:11:01,172.16.231.227,224.0.0.22,IGMP,60
10,2024-08-07 10:11:01,172.16.243.138,224.0.0.22,IGMP,60
13,2024-08-07 10:11:01,172.16.232.152,224.0.0.22,IGMP,60
14,2024-08-07 10:11:01,172.16.231.176,224.0.0.22,IGMP,60
15,2024-08-07 10:11:01,172.16.227.180,224.0.0.22,IGMP,60
16,2024-08-07 10:11:01,172.16.231.143,224.0.0.22,IGMP,60
17,2024-08-07 10:11:01,172.16.224.110,224.0.0.22,IGMP,60
18,2024-08-07 10:11:01,172.16.231.80,224.0.0.22,IGMP,60
19,2024-08-07 10:11:01,172.16.219.31,224.0.0.22,IGMP,60
20,2024-08-07 10:11:01,172.16.221.156,224.0.0.22,IGMP,60
21,2024-08-07 10:11:01,172.16.238.8,224.0.0.22,IGMP,60
22,2024-08-07 10:11:01,172.16.231.64,224.0.0.22,IGMP,60
23,2024-08-07 10:11:01,172.16.219.69,224.0.0.22,IGMP,54
24,2024-08-07 10:11:01,172.16.217.183,224.0.0.22,IGMP,60
25,2024-08-07 10:11:01,172.16.223.77,239.255.255.250,UDP,216
28,2024-08-07 10:11:01,172.16.227.204,172.16.255.255,UDP,92
30,2024-08-07 10:11:01,172.16.223.23,239.255.255.250,UDP,167
31,2024-08-07 10:11:01,172.16.223.23,239.255.255.250,UDP,217
32,2024-08-07 10:11:01,172.16.231.237,239.255.255.250,UDP,216
35,2024-08-07 10:11:01,172.16.189.207,239.255.255.250,UDP,216
59,2024-08-07 10:11:01,172.16.231.118,224.0.0.251,UDP,413
83,2024-08-07 10:11:01,172.16.216.220,224.0.0.251,UDP,427
109,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1490
110,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1328
112,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1463
113,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1099
146,2024-08-07 10:11:01,172.16.219.54,224.0.0.22,IGMP,60
157,2024-08-07 10:11:01,172.16.11.110,224.0.0.251,UDP,359
165,2024-08-07 10:11:01,172.16.230.42,224.0.0.22,IGMP,60
187,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1490
188,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1328
189,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1463
190,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,1099
191,2024-08-07 10:11:01,172.16.223.181,224.0.0.251,UDP,183
202,2024-08-07 10:11:01,172.16.210.100,224.0.0.251,UDP,111
204,2024-08-07 10:11:01,172.16.215.130,224.0.0.22,IGMP,60
205,2024-08-07 10:11:01,172.16.217.104,224.0.0.22,IGMP,60
206,2024-08-07 10:11:01,172.16.230.28,224.0.0.22,IGMP,60
207,2024-08-07 10:11:01,172.16.236.195,224.0.0.22,IGMP,60
215,2024-08-07 10:11:01,172.16.11.110,224.0.0.251,UDP,359
223,2024-08-07 10:11:01,172.16.225.147,224.0.0.22,IGMP,60
228,2024-08-07 10:11:01,172.16.222.55,172.16.255.255,UDP,92
234,2024-08-07 10:11:01,172.16.216.253,239.255.255.250,UDP,216
236,2024-08-07 10:11:01,172.16.176.50,172.16.255.255,UDP,92
238,2024-08-07 10:11:01,172.16.216.253,239.255.255.250,UDP,217
246,2024-08-07 10:11:01,172.16.231.143,224.0.0.22,IGMP,60
254,2024-08-07 10:11:01,172.16.235.40,224.0.0.22,IGMP,60
255,2024-08-07 10:11:01,172.16.237.156,224.0.0.22,IGMP,60
262,2024-08-07 10:11:01,172.16.221.194,224.0.0.251,UDP,124
292,2024-08-07 10:11:01,172.16.231.143,224.0.0.22,IGMP,60
300,2024-08-07 10:11:02,172.16.234.180,224.0.0.251,UDP,96
307,2024-08-07 10:11:02,172.16.231.143,224.0.0.22,IGMP,60
308,2024-08-07 10:11:02,172.16.231.143,224.0.0.22,IGMP,60
309,2024-08-07 10:11:02,172.16.231.143,224.0.0.22,IGMP,60
310,2024-08-07 10:11:02,172.16.237.238,224.0.0.22,IGMP,60
311,2024-08-07 10:11:02,172.16.231.227,224.0.0.22,IGMP,60
312,2024-08-07 10:11:02,172.16.237.31,224.0.0.22,IGMP,60
313,2024-08-07 10:11:02,172.16.231.174,224.0.0.22,IGMP,60
315,2024-08-07 10:11:02,172.16.218.125,224.0.0.22,IGMP,60
316,2024-08-07 10:11:02,172.16.218.50,224.0.0.22,IGMP,54
321,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1490
322,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1328
323,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1463
324,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1099
325,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,183
329,2024-08-07 10:11:02,172.16.228.231,224.0.0.22,IGMP,60
330,2024-08-07 10:11:02,172.16.236.210,224.0.0.22,IGMP,60
331,2024-08-07 10:11:02,172.16.212.192,224.0.0.22,IGMP,60
332,2024-08-07 10:11:02,172.16.243.138,224.0.0.22,IGMP,60
333,2024-08-07 10:11:02,172.16.222.151,224.0.0.22,IGMP,60
334,2024-08-07 10:11:02,172.16.236.114,224.0.0.22,IGMP,60
335,2024-08-07 10:11:02,172.16.226.192,224.0.0.22,IGMP,60
336,2024-08-07 10:11:02,172.16.231.176,224.0.0.22,IGMP,60
337,2024-08-07 10:11:02,172.16.238.8,224.0.0.22,IGMP,60
338,2024-08-07 10:11:02,172.16.232.152,224.0.0.22,IGMP,60
367,2024-08-07 10:11:02,172.16.11.110,224.0.0.251,UDP,359
373,2024-08-07 10:11:02,172.16.231.232,172.16.255.255,UDP,92
380,2024-08-07 10:11:02,172.16.236.119,239.255.255.250,UDP,216
382,2024-08-07 10:11:02,172.16.228.250,224.0.0.22,IGMP,60
383,2024-08-07 10:11:02,172.16.228.250,224.0.0.22,IGMP,78
384,2024-08-07 10:11:02,172.16.236.192,239.255.255.250,UDP,216
385,2024-08-07 10:11:02,172.16.210.49,239.255.255.250,UDP,216
386,2024-08-07 10:11:02,172.16.242.141,224.0.0.22,IGMP,60
388,2024-08-07 10:11:02,172.16.209.47,224.0.0.22,IGMP,60
389,2024-08-07 10:11:02,172.16.222.156,224.0.0.22,IGMP,60
390,2024-08-07 10:11:02,172.16.224.110,224.0.0.22,IGMP,60
391,2024-08-07 10:11:02,172.16.227.134,224.0.0.22,IGMP,60
392,2024-08-07 10:11:02,172.16.230.197,224.0.0.22,IGMP,60
407,2024-08-07 10:11:02,172.16.221.54,224.0.0.251,UDP,251
411,2024-08-07 10:11:02,172.16.218.176,224.0.0.22,IGMP,60
414,2024-08-07 10:11:02,172.16.242.206,224.0.0.251,UDP,184
416,2024-08-07 10:11:02,172.16.219.45,224.0.0.22,IGMP,60
417,2024-08-07 10:11:02,172.16.209.9,224.0.0.22,IGMP,60
423,2024-08-07 10:11:02,172.16.222.17,224.0.0.22,IGMP,60
428,2024-08-07 10:11:02,172.16.26.252,239.255.255.250,UDP,216
429,2024-08-07 10:11:02,172.16.230.250,239.255.255.250,UDP,216
432,2024-08-07 10:11:02,172.16.218.15,224.0.0.251,UDP,87
436,2024-08-07 10:11:02,172.16.235.29,224.0.0.22,IGMP,60
437,2024-08-07 10:11:02,172.16.237.225,224.0.0.22,IGMP,60
438,2024-08-07 10:11:02,172.16.230.31,224.0.0.22,IGMP,60
443,2024-08-07 10:11:02,172.16.237.144,224.0.0.22,IGMP,60
444,2024-08-07 10:11:02,172.16.225.147,224.0.0.22,IGMP,60
446,2024-08-07 10:11:02,172.16.225.147,224.0.0.251,UDP,152
450,2024-08-07 10:11:02,172.16.225.147,224.0.0.251,UDP,152
456,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,183
459,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1490
460,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1328
462,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1463
463,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1099
465,2024-08-07 10:11:02,172.16.230.88,224.0.0.22,IGMP,60
466,2024-08-07 10:11:02,172.16.230.42,224.0.0.22,IGMP,60
467,2024-08-07 10:11:02,172.16.245.4,224.0.0.22,IGMP,60
468,2024-08-07 10:11:02,172.16.241.244,224.0.0.22,IGMP,60
469,2024-08-07 10:11:02,172.16.236.61,224.0.0.22,IGMP,60
470,2024-08-07 10:11:02,172.16.231.166,224.0.0.22,IGMP,60
471,2024-08-07 10:11:02,172.16.228.56,224.0.0.22,IGMP,60
477,2024-08-07 10:11:02,172.16.235.204,239.255.255.250,UDP,216
480,2024-08-07 10:11:02,172.16.235.204,239.255.255.250,UDP,217
481,2024-08-07 10:11:02,172.16.218.15,239.255.255.250,UDP,167
482,2024-08-07 10:11:02,172.16.31.107,239.255.255.250,UDP,216
483,2024-08-07 10:11:02,172.16.224.238,239.255.255.250,UDP,216
486,2024-08-07 10:11:02,172.16.227.204,172.16.255.255,UDP,92
487,2024-08-07 10:11:02,172.16.229.254,224.0.0.22,IGMP,60
488,2024-08-07 10:11:02,172.16.223.243,224.0.0.22,IGMP,60
489,2024-08-07 10:11:02,172.16.233.227,224.0.0.22,IGMP,60
490,2024-08-07 10:11:02,172.16.208.179,224.0.0.22,IGMP,60
491,2024-08-07 10:11:02,172.16.237.232,224.0.0.22,IGMP,60
492,2024-08-07 10:11:02,172.16.237.182,224.0.0.22,IGMP,60
493,2024-08-07 10:11:02,172.16.234.62,224.0.0.22,IGMP,60
494,2024-08-07 10:11:02,172.16.232.242,224.0.0.22,IGMP,60
495,2024-08-07 10:11:02,172.16.217.242,224.0.0.22,IGMP,60
496,2024-08-07 10:11:02,172.16.23.146,224.0.0.22,IGMP,60
497,2024-08-07 10:11:02,172.16.238.3,224.0.0.22,IGMP,60
498,2024-08-07 10:11:02,172.16.233.224,224.0.0.22,IGMP,60
499,2024-08-07 10:11:02,172.16.230.34,224.0.0.22,IGMP,60
501,2024-08-07 10:11:02,172.16.237.97,224.0.0.22,IGMP,60
526,2024-08-07 10:11:02,172.16.11.110,224.0.0.251,UDP,359
559,2024-08-07 10:11:02,172.16.22.38,224.0.0.251,UDP,362
566,2024-08-07 10:11:02,172.16.5.153,224.0.0.22,IGMP,60
567,2024-08-07 10:11:02,172.16.5.153,224.0.0.22,IGMP,60
568,2024-08-07 10:11:02,172.16.213.45,224.0.0.22,IGMP,54
569,2024-08-07 10:11:02,172.16.237.115,224.0.0.22,IGMP,60
583,2024-08-07 10:11:02,172.16.5.153,224.0.0.22,IGMP,60
587,2024-08-07 10:11:02,172.16.220.193,224.0.0.22,IGMP,54
589,2024-08-07 10:11:02,172.16.237.243,224.0.0.22,IGMP,60
590,2024-08-07 10:11:02,172.16.244.42,224.0.0.22,IGMP,60
591,2024-08-07 10:11:02,172.16.224.114,224.0.0.22,IGMP,60
592,2024-08-07 10:11:02,172.16.237.98,224.0.0.22,IGMP,60
611,2024-08-07 10:11:02,172.16.181.51,224.0.0.22,IGMP,60
612,2024-08-07 10:11:02,172.16.236.195,224.0.0.22,IGMP,60
613,2024-08-07 10:11:02,172.16.235.255,224.0.0.22,IGMP,60
631,2024-08-07 10:11:02,172.16.237.96,224.0.0.22,IGMP,60
632,2024-08-07 10:11:02,172.16.237.215,224.0.0.22,IGMP,60
641,2024-08-07 10:11:02,172.16.237.156,224.0.0.22,IGMP,60
642,2024-08-07 10:11:02,172.16.226.193,224.0.0.22,IGMP,60
643,2024-08-07 10:11:02,172.16.231.158,224.0.0.22,IGMP,60
644,2024-08-07 10:11:02,172.16.219.71,224.0.0.22,IGMP,54
645,2024-08-07 10:11:02,172.16.215.25,224.0.0.22,IGMP,54
646,2024-08-07 10:11:02,172.16.236.149,224.0.0.22,IGMP,60
647,2024-08-07 10:11:02,172.16.230.39,224.0.0.22,IGMP,60
648,2024-08-07 10:11:02,172.16.237.249,224.0.0.22,IGMP,60
649,2024-08-07 10:11:02,172.16.237.244,224.0.0.22,IGMP,60
650,2024-08-07 10:11:02,172.16.226.232,224.0.0.22,IGMP,60
651,2024-08-07 10:11:02,172.16.237.238,224.0.0.22,IGMP,60
652,2024-08-07 10:11:02,172.16.230.37,224.0.0.22,IGMP,60
653,2024-08-07 10:11:02,172.16.229.76,224.0.0.22,IGMP,60
654,2024-08-07 10:11:02,172.16.232.130,224.0.0.22,IGMP,60
655,2024-08-07 10:11:02,172.16.237.151,224.0.0.22,IGMP,60
680,2024-08-07 10:11:02,172.16.224.40,224.0.0.251,UDP,261
683,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1490
684,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1328
685,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1463
686,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,1099
688,2024-08-07 10:11:02,172.16.223.181,224.0.0.251,UDP,183
699,2024-08-07 10:11:02,172.16.236.110,224.0.0.22,IGMP,60
700,2024-08-07 10:11:02,172.16.225.147,224.0.0.22,IGMP,60
701,2024-08-07 10:11:02,172.16.8.45,224.0.0.22,IGMP,60
702,2024-08-07 10:11:02,172.16.9.13,224.0.0.22,IGMP,60
703,2024-08-07 10:11:02,172.16.237.228,224.0.0.22,IGMP,60
704,2024-08-07 10:11:02,172.16.218.176,224.0.0.22,IGMP,60
705,2024-08-07 10:11:02,172.16.236.114,224.0.0.22,IGMP,60
706,2024-08-07 10:11:02,172.16.212.192,224.0.0.22,IGMP,60
707,2024-08-07 10:11:02,172.16.232.193,224.0.0.22,IGMP,60
708,2024-08-07 10:11:02,172.16.12.2,239.255.255.250,IGMP,60
709,2024-08-07 10:11:02,172.16.233.187,224.0.0.22,IGMP,60
710,2024-08-07 10:11:02,172.16.9.1,224.0.0.22,IGMP,60
711,2024-08-07 10:11:02,172.16.221.112,224.0.0.22,IGMP,60
712,2024-08-07 10:11:02,172.16.237.237,224.0.0.22,IGMP,60
713,2024-08-07 10:11:02,172.16.227.201,224.0.0.22,IGMP,60
714,2024-08-07 10:11:02,172.16.196.154,224.0.0.22,IGMP,60
715,2024-08-07 10:11:02,172.16.208.245,224.0.0.22,IGMP,60
716,2024-08-07 10:11:02,172.16.214.239,224.0.0.22,IGMP,60
717,2024-08-07 10:11:02,172.16.233.106,224.0.0.22,IGMP,60
718,2024-08-07 10:11:02,172.16.233.53,224.0.0.22,IGMP,60
719,2024-08-07 10:11:02,172.16.211.192,224.0.0.22,IGMP,60
720,2024-08-07 10:11:02,172.16.211.109,224.0.0.22,IGMP,60
721,2024-08-07 10:11:02,172.16.230.6,224.0.0.22,IGMP,60
722,2024-08-07 10:11:02,172.16.231.211,224.0.0.22,IGMP,60
723,2024-08-07 10:11:02,172.16.235.141,224.0.0.22,IGMP,60
724,2024-08-07 10:11:02,172.16.8.68,224.0.0.22,IGMP,60
725,2024-08-07 10:11:02,172.16.222.17,224.0.0.22,IGMP,60
726,2024-08-07 10:11:02,172.16.8.18,239.255.255.250,IGMP,60
727,2024-08-07 10:11:02,172.16.220.113,224.0.0.22,IGMP,54
728,2024-08-07 10:11:02,172.16.208.184,224.0.0.22,IGMP,60
729,2024-08-07 10:11:02,172.16.226.222,224.0.0.22,IGMP,60
730,2024-08-07 10:11:02,172.16.228.250,224.0.0.22,IGMP,78
731,2024-08-07 10:11:02,172.16.228.250,224.0.0.22,IGMP,60
732,2024-08-07 10:11:02,172.16.231.122,224.0.0.22,IGMP,60
734,2024-08-07 10:11:02,172.16.224.150,224.0.0.22,IGMP,60
735,2024-08-07 10:11:02,172.16.22.8,224.0.0.22,IGMP,60
736,2024-08-07 10:11:02,172.16.232.125,224.0.0.22,IGMP,60
737,2024-08-07 10:11:02,172.16.225.147,224.0.0.22,IGMP,60
738,2024-08-07 10:11:02,172.16.227.250,224.0.0.22,IGMP,60
739,2024-08-07 10:11:02,172.16.236.232,224.0.0.22,IGMP,60
740,2024-08-07 10:11:02,172.16.232.178,224.0.0.22,IGMP,60
741,2024-08-07 10:11:02,172.16.199.166,224.0.0.22,IGMP,60
742,2024-08-07 10:11:02,172.16.225.194,224.0.0.22,IGMP,60
743,2024-08-07 10:11:02,172.16.237.200,224.0.0.22,IGMP,60
744,2024-08-07 10:11:02,172.16.217.188,224.0.0.22,IGMP,54
745,2024-08-07 10:11:02,172.16.227.204,224.0.0.22,IGMP,60
746,2024-08-07 10:11:02,172.16.21.92,224.0.0.22,IGMP,60
747,2024-08-07 10:11:02,172.16.223.12,224.0.0.22,IGMP,60
748,2024-08-07 10:11:02,172.16.238.209,224.0.0.22,IGMP,60
749,2024-08-07 10:11:02,172.16.22.199,224.0.0.22,IGMP,60
750,2024-08-07 10:11:02,172.16.232.156,224.0.0.22,IGMP,60
751,2024-08-07 10:11:02,172.16.231.232,224.0.0.22,IGMP,60
752,2024-08-07 10:11:02,172.16.195.176,224.0.0.22,IGMP,60
753,2024-08-07 10:11:02,172.16.230.23,224.0.0.22,IGMP,60
754,2024-08-07 10:11:02,172.16.225.123,224.0.0.22,IGMP,60
755,2024-08-07 10:11:02,172.16.244.183,224.0.0.22,IGMP,60
756,2024-08-07 10:11:02,172.16.212.228,224.0.0.22,IGMP,60
757,2024-08-07 10:11:02,172.16.229.112,224.0.0.22,IGMP,60
758,2024-08-07 10:11:02,172.16.227.169,224.0.0.22,IGMP,60
759,2024-08-07 10:11:02,172.16.224.147,224.0.0.22,IGMP,60
760,2024-08-07 10:11:02,172.16.227.117,224.0.0.22,IGMP,60
761,2024-08-07 10:11:02,172.16.242.141,224.0.0.22,IGMP,60
